,precision,recall,f1-score,support
19,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0
180,0.0,0.0,0.0,0.0
187,0.0,0.0,0.0,0.0
242,0.0,0.0,0.0,0.0
264,0.0,0.0,0.0,0.0
289,0.0,0.0,0.0,0.0
315,0.0,0.0,0.0,0.0
346,0.0,0.0,0.0,0.0
362,0.0,0.0,0.0,0.0
392,0.0,0.0,0.0,0.0
401,0.0,0.0,0.0,0.0
415,0.0,0.0,0.0,0.0
432,0.0,0.0,0.0,0.0
438,0.0,0.0,0.0,0.0
440,0.0,0.0,0.0,0.0
461,0.0,0.0,0.0,0.0
498,0.0,0.0,0.0,0.0
504,0.0,0.0,0.0,0.0
534,0.0,0.0,0.0,0.0
536,0.0,0.0,0.0,0.0
607,0.0,0.0,0.0,0.0
622,0.0,0.0,0.0,0.0
625,0.0,0.0,0.0,0.0
630,0.0,0.0,0.0,0.0
640,0.0,0.0,0.0,0.0
643,0.0,0.0,0.0,0.0
668,0.0,0.0,0.0,0.0
679,0.0,0.0,0.0,0.0
689,0.0,0.0,0.0,0.0
720,0.0,0.0,0.0,0.0
733,0.0,0.0,0.0,0.0
772,0.0,0.0,0.0,0.0
796,0.0,0.0,0.0,0.0
801,0.0,0.0,0.0,0.0
832,0.0,0.0,0.0,0.0
858,0.0,0.0,0.0,0.0
905,0.0,0.0,0.0,0.0
911,0.0,0.0,0.0,0.0
927,0.0,0.0,0.0,0.0
929,0.0,0.0,0.0,0.0
942,0.0,0.0,0.0,0.0
972,0.0,0.0,0.0,0.0
986,0.0,0.0,0.0,0.0
1007,0.0,0.0,0.0,0.0
1034,0.0,0.0,0.0,0.0
1048,0.0,0.0,0.0,0.0
1051,0.0,0.0,0.0,0.0
1058,0.0,0.0,0.0,0.0
1085,0.0,0.0,0.0,0.0
1090,0.0,0.0,0.0,0.0
1104,0.0,0.0,0.0,0.0
1171,0.0,0.0,0.0,0.0
1197,0.0,0.0,0.0,0.0
1212,0.0,0.0,0.0,0.0
1236,0.0,0.0,0.0,0.0
1251,0.0,0.0,0.0,0.0
1262,0.0,0.0,0.0,0.0
1287,0.0,0.0,0.0,0.0
1361,0.0,0.0,0.0,0.0
1364,0.0,0.0,0.0,0.0
1385,0.0,0.0,0.0,0.0
1390,0.0,0.0,0.0,0.0
1422,0.0,0.0,0.0,0.0
1429,0.0,0.0,0.0,0.0
1448,0.0,0.0,0.0,0.0
1452,0.0,0.0,0.0,0.0
1480,0.0,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1608,0.0,0.0,0.0,0.0
1610,0.0,0.0,0.0,0.0
1622,0.0,0.0,0.0,0.0
1626,0.0,0.0,0.0,0.0
1652,0.0,0.0,0.0,0.0
1667,0.0,0.0,0.0,0.0
1732,0.0,0.0,0.0,0.0
1770,0.0,0.0,0.0,0.0
1792,0.0,0.0,0.0,0.0
1814,0.0,0.0,0.0,0.0
1855,0.0,0.0,0.0,0.0
1908,0.0,0.0,0.0,0.0
1928,0.0,0.0,0.0,0.0
1941,0.0,0.0,0.0,0.0
1986,0.0,0.0,0.0,0.0
2006,0.0,0.0,0.0,0.0
2051,0.0,0.0,0.0,0.0
2066,0.0,0.0,0.0,0.0
2075,0.0,0.0,0.0,0.0
2092,0.0,0.0,0.0,0.0
2094,0.0,0.0,0.0,0.0
2106,0.0,0.0,0.0,0.0
2109,0.0,0.0,0.0,0.0
2148,0.0,0.0,0.0,0.0
2162,0.0,0.0,0.0,0.0
2205,0.0,0.0,0.0,0.0
2244,0.0,0.0,0.0,0.0
2271,0.0,0.0,0.0,0.0
2275,0.0,0.0,0.0,0.0
2310,0.0,0.0,0.0,0.0
2331,0.0,0.0,0.0,0.0
2346,0.0,0.0,0.0,0.0
2372,0.0,0.0,0.0,0.0
2375,0.0,0.0,0.0,0.0
2391,0.0,0.0,0.0,0.0
2407,0.0,0.0,0.0,0.0
2434,0.0,0.0,0.0,0.0
2469,0.0,0.0,0.0,0.0
2476,0.0,0.0,0.0,0.0
2488,0.0,0.0,0.0,0.0
2500,0.0,0.0,0.0,0.0
2511,0.0,0.0,0.0,0.0
2521,0.0,0.0,0.0,0.0
2528,0.0,0.0,0.0,0.0
2542,0.0,0.0,0.0,0.0
2554,0.0,0.0,0.0,0.0
2571,0.0,0.0,0.0,0.0
2683,0.0,0.0,0.0,0.0
2690,0.0,0.0,0.0,0.0
2739,0.0,0.0,0.0,0.0
2774,0.0,0.0,0.0,0.0
2776,0.0,0.0,0.0,0.0
2779,0.0,0.0,0.0,0.0
2791,0.0,0.0,0.0,0.0
2829,0.0,0.0,0.0,0.0
2854,0.0,0.0,0.0,0.0
2875,0.0,0.0,0.0,0.0
2886,0.0,0.0,0.0,0.0
2906,0.0,0.0,0.0,0.0
2920,0.0,0.0,0.0,0.0
2923,0.0,0.0,0.0,0.0
2928,0.0,0.0,0.0,0.0
2934,0.0,0.0,0.0,0.0
2936,0.0,0.0,0.0,0.0
2964,0.0,0.0,0.0,0.0
2967,0.0,0.0,0.0,0.0
2987,0.0,0.0,0.0,0.0
2989,0.0,0.0,0.0,0.0
3055,0.0,0.0,0.0,0.0
3097,0.0,0.0,0.0,0.0
3124,0.0,0.0,0.0,0.0
3151,0.0,0.0,0.0,0.0
3169,0.0,0.0,0.0,0.0
3210,0.0,0.0,0.0,0.0
3274,0.0,0.0,0.0,0.0
3277,0.0,0.0,0.0,0.0
3290,0.0,0.0,0.0,0.0
3319,0.0,0.0,0.0,0.0
3350,0.0,0.0,0.0,0.0
3378,0.0,0.0,0.0,0.0
3399,0.0,0.0,0.0,0.0
3425,0.0,0.0,0.0,0.0
3517,0.0,0.0,0.0,0.0
3564,0.0,0.0,0.0,0.0
3594,0.0,0.0,0.0,0.0
3603,0.0,0.0,0.0,0.0
3614,0.0,0.0,0.0,0.0
3627,0.0,0.0,0.0,0.0
3704,0.0,0.0,0.0,0.0
3762,0.0,0.0,0.0,0.0
3788,0.0,0.0,0.0,0.0
3793,0.0,0.0,0.0,0.0
3800,0.0,0.0,0.0,0.0
3830,0.0,0.0,0.0,0.0
3836,0.0,0.0,0.0,0.0
3844,0.0,0.0,0.0,0.0
3864,0.0,0.0,0.0,0.0
3928,0.0,0.0,0.0,0.0
3932,0.0,0.0,0.0,0.0
3949,0.0,0.0,0.0,0.0
3972,0.0,0.0,0.0,1.0
3973,0.0,0.0,0.0,1.0
3974,0.0,0.0,0.0,1.0
3975,0.0,0.0,0.0,33.0
3976,0.0,0.0,0.0,1.0
3977,0.0,0.0,0.0,4.0
3978,0.0,0.0,0.0,1.0
3979,0.0,0.0,0.0,1.0
3980,0.0,0.0,0.0,1.0
3981,0.0,0.0,0.0,1.0
3982,0.0,0.0,0.0,2.0
3983,0.0,0.0,0.0,1.0
3984,0.0,0.0,0.0,2.0
3985,0.0,0.0,0.0,1.0
3986,0.0,0.0,0.0,2.0
3987,0.0,0.0,0.0,2.0
3988,0.0,0.0,0.0,1.0
3989,0.0,0.0,0.0,1.0
3990,0.0,0.0,0.0,6.0
3991,0.0,0.0,0.0,1.0
3992,0.0,0.0,0.0,1.0
3993,0.0,0.0,0.0,4.0
3994,0.0,0.0,0.0,1.0
3995,0.0,0.0,0.0,1.0
3996,0.0,0.0,0.0,1.0
3997,0.0,0.0,0.0,2.0
3998,0.0,0.0,0.0,1.0
3999,0.0,0.0,0.0,1.0
4000,0.0,0.0,0.0,1.0
4001,0.0,0.0,0.0,1.0
4002,0.0,0.0,0.0,2.0
4003,0.0,0.0,0.0,5.0
4004,0.0,0.0,0.0,1.0
4005,0.0,0.0,0.0,1.0
4006,0.0,0.0,0.0,1.0
4007,0.0,0.0,0.0,1.0
4008,0.0,0.0,0.0,1.0
4009,0.0,0.0,0.0,1.0
4010,0.0,0.0,0.0,3.0
4011,0.0,0.0,0.0,2.0
4012,0.0,0.0,0.0,2.0
4013,0.0,0.0,0.0,1.0
4014,0.0,0.0,0.0,1.0
4015,0.0,0.0,0.0,1.0
4016,0.0,0.0,0.0,1.0
4017,0.0,0.0,0.0,1.0
4018,0.0,0.0,0.0,1.0
4019,0.0,0.0,0.0,1.0
4020,0.0,0.0,0.0,1.0
4021,0.0,0.0,0.0,1.0
4022,0.0,0.0,0.0,1.0
