,precision,recall,f1-score
fold_0,0.0089776814706704,0.0287226001511715,0.0134206604303898
fold_1,0.0140678554593985,0.0393046107331821,0.0195760758062717
fold_2,0.0141756823522258,0.0408163265306122,0.0205517815183672
fold_3,0.0131534930850567,0.0415721844293272,0.0194357847576208
fold_4,0.0131975420238348,0.0408163265306122,0.01792221919967
fold_5,0.0114082062226364,0.0340136054421768,0.0157785589909299
fold_6,0.0080561785363778,0.0317460317460317,0.0125597721551391
fold_7,0.0127744272895904,0.0468631897203325,0.0196883221482409
fold_8,0.0118485541098796,0.037037037037037,0.0174768839452903
fold_9,0.0149576415296687,0.0468631897203325,0.0215154745340517
